Date,Close
12-Mar-20,"2,480.64"
11-Mar-20,"2,741.38"
10-Mar-20,"2,882.23"
9-Mar-20,"2,746.56"
6-Mar-20,"2,972.37"
5-Mar-20,"3,023.94"
4-Mar-20,"3,130.12"
3-Mar-20,"3,003.37"
2-Mar-20,"3,090.23"
28-Feb-20,"2,954.22"
27-Feb-20,"2,978.76"
26-Feb-20,"3,116.39"
25-Feb-20,"3,128.21"
24-Feb-20,"3,225.89"
21-Feb-20,"3,337.75"
20-Feb-20,"3,373.23"
19-Feb-20,"3,386.15"
18-Feb-20,"3,370.29"
14-Feb-20,"3,380.16"
13-Feb-20,"3,373.94"
12-Feb-20,"3,379.45"
11-Feb-20,"3,357.75"
10-Feb-20,"3,352.09"
7-Feb-20,"3,327.71"
6-Feb-20,"3,345.78"
5-Feb-20,"3,334.69"
4-Feb-20,"3,297.59"
3-Feb-20,"3,248.92"
31-Jan-20,"3,225.52"
30-Jan-20,"3,283.66"
29-Jan-20,"3,273.40"
28-Jan-20,"3,276.24"
27-Jan-20,"3,243.63"
24-Jan-20,"3,295.47"
23-Jan-20,"3,325.54"
22-Jan-20,"3,321.75"
21-Jan-20,"3,320.79"
17-Jan-20,"3,329.62"
16-Jan-20,"3,316.81"
15-Jan-20,"3,289.29"
14-Jan-20,"3,283.15"
13-Jan-20,"3,288.13"
10-Jan-20,"3,265.35"
9-Jan-20,"3,274.70"
8-Jan-20,"3,253.05"
7-Jan-20,"3,237.18"
6-Jan-20,"3,246.28"
3-Jan-20,"3,234.85"
2-Jan-20,"3,257.85"
31-Dec-19,"3,230.78"
30-Dec-19,"3,221.29"
27-Dec-19,"3,240.02"
26-Dec-19,"3,239.91"
24-Dec-19,"3,223.38"
23-Dec-19,"3,224.01"
20-Dec-19,"3,221.22"
19-Dec-19,"3,205.37"
18-Dec-19,"3,191.14"
17-Dec-19,"3,192.52"
16-Dec-19,"3,191.45"
13-Dec-19,"3,168.80"
12-Dec-19,"3,168.57"
11-Dec-19,"3,141.63"
10-Dec-19,"3,132.52"
9-Dec-19,"3,135.96"
6-Dec-19,"3,145.91"
5-Dec-19,"3,117.43"
4-Dec-19,"3,112.76"
3-Dec-19,"3,093.20"
2-Dec-19,"3,113.87"
29-Nov-19,"3,140.98"
27-Nov-19,"3,153.63"
26-Nov-19,"3,140.52"
25-Nov-19,"3,133.64"
22-Nov-19,"3,110.29"
21-Nov-19,"3,103.54"
20-Nov-19,"3,108.46"
19-Nov-19,"3,120.18"
18-Nov-19,"3,122.03"
15-Nov-19,"3,120.46"
14-Nov-19,"3,096.63"
13-Nov-19,"3,094.04"
12-Nov-19,"3,091.84"
11-Nov-19,"3,087.01"
8-Nov-19,"3,093.08"
7-Nov-19,"3,085.18"
6-Nov-19,"3,076.78"
5-Nov-19,"3,074.62"
4-Nov-19,"3,078.27"
1-Nov-19,"3,066.91"
31-Oct-19,"3,037.56"
30-Oct-19,"3,046.77"
29-Oct-19,"3,036.89"
28-Oct-19,"3,039.42"
25-Oct-19,"3,022.55"
24-Oct-19,"3,010.29"
23-Oct-19,"3,004.52"
22-Oct-19,"2,995.99"
21-Oct-19,"3,006.72"
18-Oct-19,"2,986.20"
17-Oct-19,"2,997.95"
16-Oct-19,"2,989.69"
15-Oct-19,"2,995.68"
14-Oct-19,"2,966.15"
11-Oct-19,"2,970.27"
10-Oct-19,"2,938.13"
9-Oct-19,"2,919.40"
8-Oct-19,"2,893.06"
7-Oct-19,"2,938.79"
4-Oct-19,"2,952.01"
3-Oct-19,"2,910.63"
2-Oct-19,"2,887.61"
1-Oct-19,"2,940.25"
30-Sep-19,"2,976.74"
27-Sep-19,"2,961.79"
26-Sep-19,"2,977.62"
25-Sep-19,"2,984.87"
24-Sep-19,"2,966.60"
23-Sep-19,"2,991.78"
20-Sep-19,"2,992.07"
19-Sep-19,"3,006.79"
18-Sep-19,"3,006.73"
17-Sep-19,"3,005.70"
16-Sep-19,"2,997.96"
13-Sep-19,"3,007.39"
12-Sep-19,"3,009.57"
11-Sep-19,"3,000.93"
10-Sep-19,"2,979.39"
9-Sep-19,"2,978.43"
6-Sep-19,"2,978.71"
5-Sep-19,"2,976.00"
4-Sep-19,"2,937.78"
3-Sep-19,"2,906.27"
30-Aug-19,"2,926.46"
29-Aug-19,"2,924.58"
28-Aug-19,"2,887.94"
27-Aug-19,"2,869.16"
26-Aug-19,"2,878.38"
23-Aug-19,"2,847.11"
22-Aug-19,"2,922.95"
21-Aug-19,"2,924.43"
20-Aug-19,"2,900.51"
19-Aug-19,"2,923.65"
16-Aug-19,"2,888.68"
15-Aug-19,"2,847.60"
14-Aug-19,"2,840.60"
13-Aug-19,"2,926.32"
12-Aug-19,"2,882.70"
9-Aug-19,"2,918.65"
8-Aug-19,"2,938.09"
7-Aug-19,"2,883.98"
6-Aug-19,"2,881.77"
5-Aug-19,"2,844.74"
2-Aug-19,"2,932.05"
1-Aug-19,"2,953.56"
31-Jul-19,"2,980.38"
